Tool,CommitId,ExecutionTime
RMiner,55ffa2f3353c5dc77fe6b790e5e045b76a07a772,0.002243
RMiner,e235f884f2e0bc258da77b9c80492ad33386fa86,0.003231
RMiner,4ef35268bb96bb78b2dc698fa68e7ce763cde32e,0.002695
RMiner,56d4b999e8be70be237049708f019c278c356e71,0.00324
RMiner,2b89553db5081fe4e55b7b34d636d0ea2acf71c5,0.003116
RMiner,19a49f8f36b2f6d82534dc13504d672e41a3a8d1,0.001988
RMiner,44dea1f292933192ea5287d9b3e14a7daaef3c0f,0.003035
RMiner,718782014519034b28f6d3182fd9d340b7b31a74,0.002941
RMiner,f6212a7e474f812f31ddbce6d4f7a7a0d498b751,0.00279
RMiner,182f4d1174036417aad9d6db908ceaf64234fd5f,0.003061
RMiner,cb98ee25ff52bf97faebe3f45cdef0ced9b4416e,0.002005
RMiner,b47634176fa48ad925f79886c6aaca225cb9af64,0.002195
RMiner,457a7f637ddb226acf477cae0b04c8ff16ec9a50,0.002319
RMiner,c11fef6e7c80681ce69e5fdc7f4796b0b7a18e2b,0.002021
RMiner,f01d8610b9ceebc1de59d42f569b8af3efbe0a0f,0.002156
RMiner,b36ab386559d04db114db8edd87c8d4cbf850c12,0.002144
RMiner,1571049ec04b1e7e6f082ed5ec071584e7200c12,0.002139
RMiner,cd8c4d578a609bdd6395d3a8c49bfd19ed700dea,0.002129
RMiner,da6167af3bdbf7663af6c20fb603aba27dd5e174,0.002075
RMiner,6c59050b8b03adf6d8043f3fb7add0496f447edf,0.002406
RMiner,a6601066ddc72ef8e71c46c5a51e1252ea0a1af5,0.001816
RMiner,f797bfa4da53315b49f8d97b784047f33ba1bf5f,0.002066
RMiner,e813a0be86c87366157a0201e6c61662cadee586,0.002793
RMiner,2581441eda268c45306423dd4c515514d98a14a0,0.002585
RMiner,200f1577d238a6d3fbcf99cb2a2585b2071214a6,0.002092
RMiner,69dd55c93fc99c5f7a1e2c21f10e671e311be49e,0.002453
RMiner,2b2bb6c734d106cdd1c0f4691607be2fe11d7ebb,0.002056
RMiner,a7401e5091c06c68fae499ea1972b40143c66fa9,0.00267
RMiner,64938ebcfc2fc8cd9ccd6cf31dbcd8cdd0660aca,0.002099
RMiner,02d3fa171d02c9d82c7bdcaeb739f47d0c0006a0,0.001945
RMiner,3b1f4e56fea289860b31ef83ccfe96a3a003cc8b,0.002207
